INFO:root:Reloaded SentencePiece model from tokenizer.model
INFO:root:#words: 32000 - BOS ID: 1 - EOS ID: 2
INFO:root:Reloaded SentencePiece model from tokenizer.model
INFO:root:#words: 32000 - BOS ID: 1 - EOS ID: 2
INFO:root:Reloaded SentencePiece model from tokenizer.model
INFO:root:#words: 32000 - BOS ID: 1 - EOS ID: 2
INFO:root:Reloaded SentencePiece model from tokenizer.model
INFO:root:#words: 32000 - BOS ID: 1 - EOS ID: 2
DEBUG:root:Layer: embedding.weight, Weight before backpropMean: 4.4523872929858044e-05, Weight Std: 1.0000399351119995, Weight Norm: 4957.61669921875
DEBUG:root:Layer: layers.0.attention.query.weight, Weight before backpropMean: 2.795438740577083e-05, Weight Std: 0.036103758960962296, Weight Norm: 27.727672576904297
DEBUG:root:Layer: layers.0.attention.query.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.0.attention.key.weight, Weight before backpropMean: -6.932269116077805e-06, Weight Std: 0.036085549741983414, Weight Norm: 27.713680267333984
DEBUG:root:Layer: layers.0.attention.key.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.0.attention.value.weight, Weight before backpropMean: -7.670574268558994e-05, Weight Std: 0.036120809614658356, Weight Norm: 27.740821838378906
DEBUG:root:Layer: layers.0.attention.value.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.0.attention.out.weight, Weight before backpropMean: -7.445612573064864e-05, Weight Std: 0.0361250601708889, Weight Norm: 27.744083404541016
DEBUG:root:Layer: layers.0.attention.out.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.0.ffn.linear1.weight, Weight before backpropMean: 2.8497257517301477e-05, Weight Std: 0.022852757945656776, Weight Norm: 35.10185623168945
DEBUG:root:Layer: layers.0.ffn.linear1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.0.ffn.linear2.weight, Weight before backpropMean: 1.4286259101936594e-05, Weight Std: 0.022824442014098167, Weight Norm: 35.058345794677734
DEBUG:root:Layer: layers.0.ffn.linear2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.0.norm1.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.0.norm1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.0.norm2.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
